,L1_ITO,L2_ZnO,L3_PbSTBAI,L4_Au,Transmission,Reflection
834.0,0.0779089081295,0.0,0.315017030002,0.0423663279757,1.32039124954e-05,0.564694529981
835.0,0.0777593110947,0.0,0.311467639528,0.0422764562284,1.32259014842e-05,0.568483367247
836.0,0.0775497318765,0.0,0.307944367601,0.0421874168957,1.32479301167e-05,0.572305235697
837.0,0.0773520513386,0.0,0.304509884716,0.0420918868446,1.32668928106e-05,0.576032910208
838.0,0.0770954590465,0.0,0.301105094536,0.0419977181461,1.32860440705e-05,0.579788442227
839.0,0.0768520343509,0.0,0.297847591913,0.0418972534483,1.33017342083e-05,0.583389818553
840.0,0.0765897915908,0.0,0.294553764844,0.0417970912892,1.3317641497e-05,0.587046034635
841.0,0.0763030749387,0.0,0.291368599522,0.0416933072353,1.33314042903e-05,0.590621686899
842.0,0.0759967538373,0.0,0.288252443107,0.0415886254348,1.3344199227e-05,0.594148833422
843.0,0.0756274690239,0.0,0.28525289675,0.0414817543623,1.33555854508e-05,0.597624524278
844.0,0.0752778538474,0.0,0.282310771305,0.0413746339464,1.33659990516e-05,0.601023374903
845.0,0.0749392417304,0.0,0.279457429028,0.041259350513,1.3372966013e-05,0.604330605763
846.0,0.074546241231,0.0,0.276629852078,0.0411453565794,1.33801405482e-05,0.607665169971
847.0,0.0741298370406,0.0,0.274020069689,0.0410282979619,1.33849075427e-05,0.610808410401
848.0,0.0737018714227,0.0,0.271386764872,0.040913666318,1.33904059301e-05,0.613984306981
849.0,0.0732470513224,0.0,0.268951289904,0.0407934445399,1.33927969109e-05,0.616994821437
850.0,0.0728115335042,0.0,0.266518721561,0.0406715336263,1.33942708358e-05,0.619984817038
851.0,0.0723185107992,0.0,0.264244002236,0.0405466289676,1.33937845231e-05,0.622877464213
852.0,0.07184424256,0.0,0.262029501061,0.0404207965391,1.33924609653e-05,0.625692067379
853.0,0.0713506503427,0.0,0.260030182317,0.0402930699281,1.33892462055e-05,0.628312708166
854.0,0.0708141419475,0.0,0.258015160833,0.0401696202636,1.33875324393e-05,0.630987689423
855.0,0.0702839957341,0.0,0.256219160156,0.0400391965725,1.33820114661e-05,0.633444265526
856.0,0.0697449540927,0.0,0.254448774782,0.0399206435324,1.33806994534e-05,0.635872246893
857.0,0.0691849479977,0.0,0.252919375035,0.0397973903927,1.33765360372e-05,0.638084910038
858.0,0.0686136451157,0.0,0.251409154448,0.0396760005411,1.33727508287e-05,0.640287827145
859.0,0.0680254587307,0.0,0.250094150212,0.0395517228443,1.33670797862e-05,0.642315301133
860.0,0.0674265566409,0.0,0.248840998021,0.0394300849067,1.33617289311e-05,0.644288998703
861.0,0.0668120702572,0.0,0.24782831587,0.0393032532253,1.33535451693e-05,0.646043007102
862.0,0.0661878307172,0.0,0.246832050337,0.0391786130717,1.33459720296e-05,0.647788159902
863.0,0.065547916736,0.0,0.246111342512,0.0390510230658,1.33360137795e-05,0.649276381673
864.0,0.0649266402785,0.0,0.245390871212,0.0389215489698,1.33254165738e-05,0.650747614123
865.0,0.0642609427767,0.0,0.244898023352,0.0387886089111,1.33126944164e-05,0.652039112265
866.0,0.0636220953599,0.0,0.244475437158,0.0386593044108,1.33008893241e-05,0.653229862182
867.0,0.0629410538996,0.0,0.244322055402,0.0385279558084,1.32871100867e-05,0.65419564778
868.0,0.0622792652587,0.0,0.244168163998,0.0383956506176,1.32731731272e-05,0.655143646953
869.0,0.061610264282,0.0,0.244289231775,0.0382613078435,1.32574677195e-05,0.655825938632
870.0,0.0609364161235,0.0,0.244461689343,0.0381306478353,1.3242709382e-05,0.656458003989
871.0,0.0602484543497,0.0,0.244881466809,0.037992867238,1.32247960259e-05,0.656863986807
872.0,0.0595645105242,0.0,0.245328209196,0.037861169738,1.3208821131e-05,0.65723290172
873.0,0.0588694160233,0.0,0.246069961239,0.0377268955927,1.31909125297e-05,0.657320536233
874.0,0.0581708355142,0.0,0.246803215555,0.0375919055733,1.31728757631e-05,0.657420870482
875.0,0.0574658868385,0.0,0.247829128994,0.0374532324476,1.31526262054e-05,0.657238599093
876.0,0.0567878108896,0.0,0.248861449807,0.0373183724372,1.31337547314e-05,0.657019233112
877.0,0.0560750690818,0.0,0.250216894471,0.0371802352845,1.31126902972e-05,0.656514688472
878.0,0.0553689366187,0.0,0.251540476425,0.0370458562694,1.309309802e-05,0.656031637589
879.0,0.0546788659127,0.0,0.253177868656,0.0369061071237,1.30709526622e-05,0.655224087355
