Wavelength (nm),Global tilt  mW*cm-2*nm-1 (1sun AM 1.5)
818.0,8.2259E-02
819.0,9.0519E-02
820.0,8.6188E-02
821.0,9.9764E-02
822.0,9.5157E-02
823.0,6.7271E-02
824.0,9.3506E-02
825.0,9.6935E-02
826.0,9.3381E-02
827.0,9.8465E-02
828.0,8.4979E-02
829.0,9.2930E-02
830.0,9.1601E-02
831.0,9.2392E-02
832.0,8.9426E-02
833.0,9.5650E-02
834.0,9.3412E-02
835.0,1.0032E-01
836.0,9.7234E-02
837.0,1.0092E-01
838.0,9.9901E-02
839.0,1.0013E-01
840.0,1.0157E-01
841.0,1.0101E-01
842.0,9.9703E-02
843.0,1.0053E-01
844.0,9.8631E-02
845.0,1.0165E-01
846.0,1.0187E-01
847.0,9.9170E-02
848.0,9.9217E-02
849.0,9.8596E-02
850.0,8.9372E-02
851.0,9.7493E-02
852.0,9.6927E-02
853.0,9.6486E-02
854.0,8.5112E-02
855.0,9.1300E-02
856.0,9.7317E-02
857.0,9.9166E-02
858.0,9.9196E-02
859.0,9.9171E-02
860.0,9.8816E-02
861.0,9.8679E-02
862.0,9.9449E-02
863.0,1.0005E-01
864.0,9.7916E-02
865.0,9.6324E-02
866.0,8.4900E-02
867.0,9.1546E-02
868.0,9.5920E-02
869.0,9.4956E-02
870.0,9.6755E-02
871.0,9.5387E-02
872.0,9.6686E-02
873.0,9.5721E-02
874.0,9.4042E-02
875.0,9.2687E-02
876.0,9.5277E-02
877.0,9.5615E-02
878.0,9.5237E-02
879.0,9.3656E-02
880.0,9.3957E-02
881.0,9.0861E-02
882.0,9.3245E-02
883.0,9.2927E-02
884.0,9.3305E-02
885.0,9.4423E-02
886.0,9.0752E-02
887.0,9.1062E-02
888.0,9.2228E-02
889.0,9.3455E-02
890.0,9.2393E-02
891.0,9.2584E-02
892.0,9.0881E-02
893.0,8.7327E-02
894.0,8.5130E-02
895.0,8.1357E-02
896.0,7.6253E-02
897.0,6.6566E-02
898.0,7.1780E-02
899.0,5.4871E-02
900.0,7.4260E-02
901.0,5.9933E-02
902.0,6.6791E-02
903.0,6.8889E-02
904.0,8.4457E-02
905.0,8.1709E-02
906.0,7.7558E-02
907.0,6.3854E-02
908.0,6.5217E-02
909.0,7.0431E-02
910.0,6.2467E-02
911.0,6.6808E-02
912.0,6.8893E-02
913.0,6.2834E-02
914.0,6.2649E-02
915.0,6.7836E-02
916.0,5.7646E-02
917.0,7.3017E-02
918.0,5.9271E-02
919.0,7.3877E-02
920.0,7.4414E-02
921.0,7.8049E-02
922.0,7.0026E-02
923.0,7.4504E-02
924.0,7.2150E-02
925.0,7.1110E-02
926.0,7.0331E-02
927.0,7.8742E-02
928.0,5.8968E-02
929.0,5.5127E-02
930.0,4.3210E-02
931.0,4.0921E-02
932.0,3.0086E-02
933.0,2.4841E-02
934.0,1.4380E-02
935.0,2.5084E-02
936.0,1.6142E-02
937.0,1.6338E-02
938.0,2.0058E-02
939.0,3.9887E-02
940.0,4.7181E-02
941.0,3.7195E-02
942.0,4.0532E-02
943.0,2.7834E-02
944.0,2.8579E-02
945.0,3.6821E-02
946.0,1.9461E-02
947.0,3.7112E-02
948.0,2.7423E-02
949.0,4.9396E-02
950.0,1.4726E-02
951.0,4.8378E-02
952.0,2.6891E-02
953.0,3.4362E-02
954.0,4.2411E-02
955.0,3.4117E-02
956.0,3.2821E-02
957.0,2.7067E-02
958.0,4.6101E-02
959.0,3.7385E-02
960.0,4.2066E-02
961.0,4.6120E-02
962.0,4.4174E-02
963.0,5.0503E-02
964.0,4.5860E-02
965.0,5.0374E-02
966.0,5.0275E-02
967.0,5.0240E-02
968.0,6.5210E-02
969.0,6.8622E-02
970.0,6.3461E-02
971.0,7.1397E-02
972.0,6.8765E-02
973.0,6.0648E-02
974.0,5.7529E-02
975.0,5.8987E-02
976.0,5.7191E-02
977.0,6.3864E-02
978.0,6.1509E-02
979.0,6.3815E-02
980.0,6.0468E-02
981.0,7.1338E-02
982.0,6.9218E-02
983.0,6.6865E-02
984.0,7.3732E-02
985.0,6.8817E-02
986.0,7.5083E-02
987.0,7.3928E-02
988.0,7.3462E-02
989.0,7.4906E-02
990.0,7.3227E-02
991.0,7.5358E-02
992.0,7.5102E-02
993.0,7.3728E-02
994.0,7.5410E-02
995.0,7.5176E-02
996.0,7.4884E-02
997.0,7.3971E-02
998.0,7.3887E-02
999.0,7.3857E-02
1000.0,7.3532E-02
1001.0,7.4442E-02
1002.0,7.2805E-02
1003.0,7.3442E-02
1004.0,7.2336E-02
1005.0,6.8174E-02
1006.0,7.1252E-02
1007.0,7.2753E-02
1008.0,7.2685E-02
1009.0,7.1972E-02
1010.0,7.1914E-02
1011.0,7.2278E-02
1012.0,7.1877E-02
1013.0,7.1761E-02
1014.0,7.2068E-02
1015.0,7.0817E-02
1016.0,7.1129E-02
1017.0,7.0337E-02
1018.0,7.1422E-02
1019.0,6.8878E-02
1020.0,6.9896E-02
1021.0,7.0175E-02
1022.0,6.8970E-02
1023.0,6.9508E-02
1024.0,6.9058E-02
1025.0,6.9753E-02
1026.0,6.9636E-02
1027.0,6.9305E-02
1028.0,6.9385E-02
1029.0,6.8628E-02
1030.0,6.9055E-02
1031.0,6.8736E-02
1032.0,6.8787E-02
1033.0,6.7613E-02
1034.0,6.8015E-02
1035.0,6.8234E-02
1036.0,6.8202E-02
1037.0,6.7497E-02
1038.0,6.7172E-02
1039.0,6.7636E-02
1040.0,6.7170E-02
1041.0,6.7176E-02
1042.0,6.7200E-02
1043.0,6.6525E-02
1044.0,6.6833E-02
1045.0,6.6452E-02
1046.0,6.4714E-02
1047.0,6.5694E-02
1048.0,6.6274E-02
1049.0,6.5896E-02
1050.0,6.5463E-02
1051.0,6.5521E-02
1052.0,6.5118E-02
1053.0,6.4919E-02
1054.0,6.4646E-02
1055.0,6.4847E-02
1056.0,6.4641E-02
1057.0,6.4482E-02
1058.0,6.3818E-02
